,text,label,preprocessed_text
1930,"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",negative,wife hat meal coconut shrimp friend really do not enjoy meal either
700,The dialogue is composed of things that make little sense.  ,negative,dialogue be compose of thing make little sense
1650,We recently witnessed her poor quality of management towards other guests as well.,negative,recently witness poor quality of management towards guest well
767,"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",positive,film give mean phrase never history of human conflict have much be owe many few
1514,"This place is pretty good, nice little vibe in the restaurant.",positive,place be pretty good nice little vibe restaurant
1121,don't waste your money.,negative,do not waste money
1848,Jawbone Era is awesome too!,positive,jawbone era be awesome too
762,"I have had this phone for over a year now, and I will tell you, its not that great.",negative,have have phone year now tell you not great
88,"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  ",negative,put race card aside let u look major flaw film destroy latifa s character
2675,The food was outstanding and the prices were very reasonable.,positive,food be outstanding price be very reasonable
1729,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",positive,also be serve hot bread butter home make potato chip bacon bit top very original very good
1894,Don't bother - go to the store.,negative,do not bother go store
962,I had Verizon 2 years ago and really liked their service.,positive,have verizon two year ago really liked service
2063,I did not have any problem with this item and would order it again if needed.,positive,do not have any problem item would order need
14,I vomited in the bathroom mid lunch.,negative,vomit bathroom mid lunch
2568,"Of course the footage from the 70s was grainy, but that only enhanced the film.  ",positive,of course footage 70 be grainy enhance film
915,"However, the keypads are so tinny that I sometimes reach the wrong buttons.",negative,however keypad be tinny sometimes reach wrong button
824,Their Research and Development division obviously knows what they're doing.,positive,research development division obviously know be do
2008,Phone is sturdy as all nokia bar phones are.,positive,phone be sturdy nokia bar phone be
245,Hell no will I go back,negative,hell no go back
1622,And the beans and rice were mediocre at best.,negative,bean rice be mediocre best
